Date,Open,High,Low,Close,Adj Close,Volume
2013-06-14,346879,349943,342589,344428,342049,150496
2013-06-17,346879,348105,332783,343815,341440.25,160209
2013-06-18,343202,353621,335235,351782,349352.1875,187767
2013-06-19,354846,354846,340751,342589,340222.7188,96355
2013-06-20,332171,334622,327268,331558,329267.875,214010
2013-06-21,322978,337073,322365,337073,334744.7813,134884
2013-06-24,334009,338912,329719,332171,329876.6875,83257
2013-06-25,334622,339525,324816,330332,328050.3438,145780
2013-06-26,338299,340751,332171,338299,335962.3125,141584
2013-06-27,343202,348718,339525,339525,337179.875,181342
2013-06-28,342589,359136,341363,356072,353612.5625,269371
2013-07-01,353008,359136,348105,355459,353003.8125,111567
2013-07-02,356072,367104,352395,359136,356655.4063,161040
2013-07-03,364039,369555,355459,357298,354830.125,141411
2013-07-04,357298,358524,349943,356072,353612.5625,130747
2013-07-05,356685,361588,351782,353008,350569.75,80518
2013-07-08,353008,360362,351782,356072,353612.5625,96903
2013-07-09,360362,362201,351782,362201,359699.2188,87835
2013-07-10,363426,364039,341976,343202,340831.4375,294259
2013-07-11,348718,357911,348105,355459,353003.8125,149897
2013-07-12,352395,355459,348105,355459,353003.8125,125755
2013-07-15,353621,353621,345653,351169,348743.4688,101037
2013-07-16,353008,362201,349331,358524,356047.5938,111751
2013-07-17,358524,362201,353008,359136,356655.4063,99158
2013-07-18,357911,363426,352395,353008,350569.75,136815
2013-07-19,351782,353621,345653,346879,344483.0625,154574
2013-07-22,350556,351169,339525,340138,337788.625,172943
2013-07-23,341976,349943,340138,347492,345091.8438,194949
2013-07-24,349331,350556,332171,338299,335962.3125,309231
2013-07-25,340751,349331,338912,343202,340831.4375,316925
2013-07-26,353621,371394,351169,368942,366393.6875,554589
2013-07-29,367716,370781,353008,359749,357264.1875,1019555
2013-07-30,525260,525260,525260,525260,521631.9688,0
2013-07-31,525260,525260,525260,525260,521631.9688,0
2013-08-01,359750,359750,359750,359750,357265.1563,0
2013-08-02,359750,359750,359750,359750,357265.1563,0
2013-08-05,359750,359750,359750,359750,357265.1563,0
2013-08-06,359750,359750,359750,359750,357265.1563,0
2013-08-07,359750,359750,359750,359750,357265.1563,0
2013-08-08,359750,359750,359750,359750,357265.1563,0
2013-08-09,359750,359750,359750,359750,357265.1563,0
2013-08-12,359750,359750,359750,359750,357265.1563,0
2013-08-13,359750,359750,359750,359750,357265.1563,0
2013-08-14,359750,359750,359750,359750,357265.1563,0
2013-08-16,359750,359750,359750,359750,357265.1563,0
2013-08-19,359750,359750,359750,359750,357265.1563,0
2013-08-20,359750,359750,359750,359750,357265.1563,0
2013-08-21,359750,359750,359750,359750,357265.1563,0
2013-08-22,359750,359750,359750,359750,357265.1563,0
2013-08-23,359750,359750,359750,359750,357265.1563,0
2013-08-26,359750,359750,359750,359750,357265.1563,0
2013-08-27,359750,359750,359750,359750,357265.1563,0
2013-08-28,359750,359750,359750,359750,357265.1563,0
2013-08-29,460000,491500,431000,480000,476684.5625,2021372
2013-08-30,474000,474000,446500,446500,443415.9688,752698
2013-09-02,446500,458500,446500,449500,446395.25,329233
2013-09-03,447500,452000,443000,443000,439940.1563,257085
2013-09-04,442000,448500,432500,437000,433981.5938,278622
2013-09-05,441000,459500,440500,456500,453346.9063,292076
2013-09-06,460000,463000,448000,456500,453346.9063,156276
2013-09-09,460000,494000,460000,486000,482643.125,400716
2013-09-10,500000,520000,491500,520000,516408.3125,368758
2013-09-11,513000,520000,502000,512000,508463.5625,370812
2013-09-12,523000,535000,522000,525000,521373.7813,574147
2013-09-13,521000,531000,513000,521000,517401.375,198641
2013-09-16,538000,542000,518000,529000,525346.1875,198212
2013-09-17,521000,530000,520000,524000,520380.6875,175903
2013-09-23,531000,540000,531000,540000,536270.1875,340548
2013-09-24,540000,544000,535000,543000,539249.4375,240406
